M2 supply
Date, Value
2014-09-30,21711.19921875
2014-10-31,21943.80078125
2014-11-30,21985.599609375
2014-12-31,22339.80078125
2015-01-31,22345.900390625
2015-02-28,22575.900390625
2015-03-31,23332.30078125
2015-04-30,23841.900390625
2015-05-31,24171.69921875
2015-06-30,24081.599609375
2015-07-31,23758.80078125
2015-08-31,23820
2015-09-30,24017.900390625
2015-10-31,24207.69921875
2015-11-30,24784.099609375
2015-12-31,24976.19921875
2016-01-31,25010.5
2016-02-29,25479.099609375
2016-03-31,26585.599609375
2016-04-30,28509.599609375
2016-05-31,27021.599609375
2016-06-30,27231.900390625
2016-07-31,27222.900390625
2016-08-31,27638.80078125
2016-09-30,29134.5
2016-10-31,28399.400390625
2016-11-30,26951.099609375
2016-12-31,20658
2017-01-31,20935.400390625
2017-02-28,22546.5
2017-03-31,24161.69921875
2017-04-30,26537.69921875
2017-05-31,27373.599609375
2017-06-30,27988.400390625
2017-07-31,27846.5
2017-08-31,28286.69921875
2017-09-30,28225.80078125
2017-10-31,29069.099609375
2017-11-30,29288.30078125
2017-12-31,29600.900390625
2018-01-31,29918.30078125
2018-02-28,30479.19921875
2018-03-31,31201.69921875
2018-04-30,32378
2018-05-31,32636.400390625
2018-06-30,32739.19921875
2018-07-31,32897.1015625
2018-08-31,32980.69921875
2018-09-30,33059.69921875
2018-10-31,33429.69921875
2018-11-30,34142.19921875
2018-12-31,34041.6015625
2019-01-31,34510.19921875
2019-02-28,34937
2019-03-31,35970.19921875
2019-04-30,37403.8984375
2019-05-31,37067.6015625
2019-06-30,37042.19921875
2019-07-31,37153.8984375
2019-08-31,36941.69921875
2019-09-30,37901.23828125
2019-10-31,37595.44140625
2019-11-30,37911.48828125
2019-12-31,38580.30078125
2020-01-31,38404.37890625
2020-02-29,39146.8984375
2020-03-31,40623.0703125
2020-04-30,41744.578125
2020-05-31,42339.37109375
2020-06-30,43309.73828125
2020-07-31,43848.98828125
2020-08-31,43593.28125
2020-09-30,44227.83984375
2020-10-31,43847.62890625
2020-11-30,44427.03125
2020-12-31,45923.671875
2021-01-31,46127.69140625
2021-02-28,47554.19921875
2021-03-31,49403.26171875
2021-04-30,48513.33984375
2021-05-31,48827.66015625
2021-06-30,49437.5
2021-07-31,49616.69140625
2021-08-31,49810.9296875
2021-09-30,49481.73046875
2021-10-31,49691.5390625
2021-11-30,52067.421875
2021-12-31,51011.578125
2022-01-31,51209.39
2022-02-28,52307.17
2022-03-31,52856.6
2022-04-30,54717.61
2022-05-31,55050.03
2022-06-30,54622.68
2022-07-31,55150.14
2022-08-31,54705.61
2022-09-30,54312.47
2022-10-31,55296.41
2022-11-30,55439.13
2022-12-31,55710.46
2023-01-31,56383.57
2023-02-28,57876.21
2023-03-31,57803.09
2023-04-30,58962.14
2023-05-31,59005.44
2023-06-30,61037.92
2023-07-31,58853.61
2023-08-31,58288.02
2023-09-30,58131.05
2023-10-31,58684.6
2023-11-30,59775.72
2023-12-31,61174.78
2024-01-31,61289.06
2024-02-29,61289.06
2024-03-31,61289.06
2024-04-30,61128.97
2024-05-31,61131.88
2024-06-30,61017.6
2024-07-31,61560.26
2024-08-31,61855.49
