Macrotrends Data Download

India Unemployment Rate 1991-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,6.737
1992-12-31,6.815,0.08
1993-12-31,6.798,-0.02
1994-12-31,6.83,0.03
1995-12-31,7.014,0.18
1996-12-31,7.181,0.17
1997-12-31,7.279,0.1
1998-12-31,7.487,0.21
1999-12-31,7.709,0.22
2000-12-31,7.77,0.06
2001-12-31,7.957,0.19
2002-12-31,8.102,0.15
2003-12-31,8.36,0.26
2004-12-31,8.531,0.17
2005-12-31,8.7,0.17
2006-12-31,8.625,-0.07
2007-12-31,8.536,-0.09
2008-12-31,8.354,-0.18
2009-12-31,8.384,0.03
2010-12-31,8.319,-0.06
2011-12-31,8.168,-0.15
2012-12-31,8.095,-0.07
2013-12-31,8.037,-0.06
2014-12-31,7.981,-0.06
2015-12-31,7.915,-0.07
2016-12-31,7.842,-0.07
2017-12-31,7.733,-0.11
2018-12-31,7.65,-0.08
2019-12-31,6.51,-1.14
2020-12-31,10.195,3.69
2021-12-31,7.713,-2.48
2022-12-31,7.33,-0.38
