Year-Month,Unemployment Rate (%)
04/2016,8.9
05/2016,9.7
06/2016,8.9
07/2016,8.5
08/2016,9.6
09/2016,8.4
10/2016,6.7
11/2016,6.5
12/2016,6.4
01/2017,5.9
02/2017,5.0
03/2017,4.7
04/2017,3.9
05/2017,4.0
06/2017,4.1
07/2017,3.4
08/2017,4.1
09/2017,4.6
10/2017,5.0
11/2017,4.7
12/2017,4.7
01/2018,5.0
02/2018,5.9
03/2018,6.0
04/2018,5.6
05/2018,5.1
06/2018,5.8
07/2018,5.7
08/2018,6.3
09/2018,6.5
10/2018,6.8
11/2018,6.7
12/2018,7.0
01/2019,6.9
02/2019,7.2
03/2019,6.7
04/2019,7.4
05/2019,7.0
06/2019,7.9
07/2019,7.3
08/2019,8.2
09/2019,7.2
10/2019,8.1
11/2019,7.2
12/2019,7.6
01/2020,7.2
02/2020,7.8
03/2020,8.7
04/2020,23.5
05/2020,21.7
06/2020,10.2
07/2020,7.4
08/2020,8.3
09/2020,6.7
10/2020,7.0
11/2020,6.5
12/2020,9.1
01/2021,6.5
02/2021,6.9
03/2021,6.5
04/2021,8.0
05/2021,11.9
06/2021,9.2
07/2021,7.0
08/2021,8.3
09/2021,6.9
10/2021,7.8
11/2021,7.0
12/2021,7.9
01/2022,6.6
02/2022,8.1
03/2022,7.6
04/2022,7.8
05/2022,7.1
06/2022,7.8
07/2022,6.8
08/2022,8.3
09/2022,6.4
10/2022,7.8
11/2022,8.0
12/2022,8.3
